run_id	experiment	context_channels	target_channels	encoder_size	predictor_depth	predictor_dim	num_frames	batch_size	lr	warmup_steps	total_steps	lambda_sigreg	sigreg_num_slices	seed	status	wall_hours	final_pred_mse	final_sigreg	final_total_loss	val_pred_mse	started_at	ended_at	notes
baseline_vit_ema_sigreg_20260428_075508	baseline	all	all	small	6	384	16	2	0.0003	700	10500	0.1		0	done	0.765	0.966227	6.441406	1.610270		2026-04-28T07:55:11	2026-04-28T08:41:06	
exp_a_vit_ema_sigreg_20260428_084330	exp_a	D	u	small	6	384	16	2	0.0003	700	10500	0.1		0	done	0.774	0.675692	5.234375	1.199129		2026-04-28T08:43:33	2026-04-28T09:30:00	
exp_b_vit_ema_sigreg_20260428_093243	exp_b	divD	lapU	small	6	384	16	2	0.0003	700	10500	0.1		0	done	0.798	0.079920	3.744141	0.454431		2026-04-28T09:32:46	2026-04-28T10:20:39	
baseline_vit_ema_vicreg_20260428_102316	baseline	all	all	small	6	384	16	2	0.0003	700	10500	0.1		0	done	0.792	0.086840	0.079693	0.094809		2026-04-28T10:23:19	2026-04-28T11:10:51	
exp_a_vit_ema_vicreg_20260428_111313	exp_a	D	u	small	6	384	16	2	0.0003	700	10500	0.1		0	done	0.773	0.288771	0.026482	0.291419		2026-04-28T11:13:16	2026-04-28T11:59:39	
exp_b_vit_ema_vicreg_20260428_120202	exp_b	divD	lapU	small	6	384	16	2	0.0003	700	10500	0.1		0	running						2026-04-28T12:02:06		
baseline_cnn_ema_vicreg_no_cov_20260428_123657	baseline	all	all	cnn	6	256	16	2	0.0003	700	10500	0.1		0	done	0.837	nan	nan	nan		2026-04-28T12:37:00	2026-04-28T13:27:14	
exp_b_vit_ema_vicreg_20260428_142657	exp_b	divD	lapU	small	6	384	16	2	0.0003	700	10500	0.1		0	done	0.768	0.000745	0.003258	0.001070		2026-04-28T14:27:01	2026-04-28T15:13:05	
exp_b_vit_ema_vicreg_no_cov_20260428_151528	exp_b	divD	lapU	small	6	384	16	2	0.0003	700	10500	0.1		0	done	0.833	0.000020	0.000000	0.000020		2026-04-28T15:15:30	2026-04-28T16:05:29	
baseline_cnn_ema_vicreg_no_cov_20260428_190830	baseline	all	all	cnn	6	256	16	2	0.0003	700	10500	0.1		0	done	0.768	0.005399	0.000000	0.005399		2026-04-28T19:08:32	2026-04-28T19:54:37	
exp_a_cnn_ema_vicreg_no_cov_20260428_195441	exp_a	D	u	cnn	6	256	16	2	0.0003	700	10500	0.1		0	crashed	0.003					2026-04-28T19:54:43	2026-04-28T19:54:55	
exp_b_cnn_ema_vicreg_no_cov_20260428_195519	exp_b	divD	lapU	cnn	6	256	16	2	0.0003	700	10500	0.1		0	done	0.768	0.000045	0.000000	0.000045		2026-04-28T19:55:21	2026-04-28T20:41:27	
exp_a_cnn_ema_vicreg_no_cov_20260428_204808	exp_a	D	u	cnn	6	256	16	2	0.0003	700	10500	0.1		0	done	0.774	1.294936	0.000000	1.294936		2026-04-28T20:48:11	2026-04-28T21:34:38	
exp_b_cnn_ema_vicreg_no_cov_20260428_213707	exp_b	divD	lapU	cnn	6	256	16	2	0.0003	700	10500	0.1		0	done	0.764	0.553513	0.000000	0.553513		2026-04-28T21:37:10	2026-04-28T22:23:01	
exp_a_cnn_ema_vicreg_20260428_222526	exp_a	D	u	cnn	6	256	16	2	0.0003	700	10500	0.1		0	running						2026-04-28T22:25:28		
baseline_cnn_ema_vicreg_20260428_225444	baseline	all	all	cnn	6	256	16	2	0.0003	700	10500	0.1		0	done	0.771	1.037433	0.080552	1.045489		2026-04-28T22:54:47	2026-04-28T23:41:02	
exp_a_cnn_ema_vicreg_20260428_234329	exp_a	D	u	cnn	6	256	16	2	0.0003	700	10500	0.1		0	done	0.759	0.760650	0.091295	0.769780		2026-04-28T23:43:32	2026-04-29T00:29:02	
exp_b_cnn_ema_vicreg_20260429_003133	exp_b	divD	lapU	cnn	6	256	16	2	0.0003	700	10500	0.1		0	done	0.771	0.130365	0.069607	0.137326		2026-04-29T00:31:35	2026-04-29T01:17:51	
